Year,Jeeps,Cars,Commercial Vehicles,Two Wheelers - Motor Cycles,Two Wheelers - Scooters,Two Wheelers - Mopeds,Two Wheelers - Total,Three Wheelers
1961,7502,21662,25713,8636,12817,2634,24087,1267
1962,7597,23326,26893,8828,14318,513,23659,1426
1963,8104,15711,28480,9456,15419,5,24880,1701
1964,10391,23227,33516,13858,20043,1445,35346,2493
1965,10488,24790,37401,21364,20316,7444,49124,1884
1966,9777,27597,35155,25040,20971,5591,51602,1255
1967,5561,33395,31452,23338,30302,9108,62748,3995
1968,7298,37308,35119,29411,35942,9553,74906,4317
1969,7838,35183,35489,34477,49740,11043,95260,5072
1970,9334,35305,41324,43038,58442,11691,113171,4229
1971,11053,38316,42024,39670,67211,14104,120985,6156
1972,12510,38827,38929,47573,64731,24671,136975,9790
1973,13071,39937,44909,48812,78007,23312,150131,11336
1974,10015,36009,41865,54002,85670,29222,168894,12646
1975,8162,23070,43044,69730,91037,33889,194656,12223
1976,6741,31556,46761,73158,147683,33610,254451,18886
1977,9594,37849,41702,67011,146406,31808,245225,18301
1978,11010,34366,53470,86703,166941,44168,297812,19109
1979,12340,29230,59700,87011,153062,63989,304062,16708
